일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/08/08","2493.10","2.30","0.09","2481.17","2494.00","2477.76","418234.0","7613758.0","1.964010918E9"
"2022/08/05","2490.80","17.69","0.72","2481.43","2497.58","2480.05","409776.0","7561092.0","1.962992758E9"
"2022/08/04","2473.11","11.66","0.47","2478.44","2478.95","2465.32","399965.0","7506315.0","1.948549233E9"
"2022/08/03","2461.45","21.83","0.89","2438.56","2461.45","2433.12","475302.0","6751539.0","1.93957196E9"
"2022/08/02","2439.62","-12.63","-0.52","2451.00","2451.07","2428.76","549924.0","7266264.0","1.922819214E9"
"2022/08/01","2452.25","0.75","0.03","2444.05","2461.40","2437.13","487160.0","7509598.0","1.932452046E9"
"2022/07/29","2451.50","16.23","0.67","2453.53","2463.05","2442.01","499369.0","1.0256338E7","1.931903737E9"
"2022/07/28","2435.27","19.74","0.82","2437.57","2443.43","2429.07","491073.0","9196435.0","1.919419877E9"
"2022/07/27","2415.53","2.57","0.11","2412.52","2415.53","2396.19","333588.0","7049803.0","1.903522364E9"
"2022/07/26","2412.96","9.27","0.39","2397.27","2415.39","2395.17","415671.0","6240741.0","1.90121443E9"
"2022/07/25","2403.69","10.55","0.44","2385.65","2412.47","2385.65","323091.0","5959859.0","1.894263511E9"
"2022/07/22","2393.14","-16.02","-0.66","2405.37","2417.91","2391.48","381597.0","6973851.0","1.886496918E9"
"2022/07/21","2409.16","22.31","0.93","2387.91","2411.96","2387.91","295624.0","6309071.0","1.899062118E9"
"2022/07/20","2386.85","15.88","0.67","2406.29","2410.06","2382.65","333329.0","7434804.0","1.881643043E9"
"2022/07/19","2370.97","-4.28","-0.18","2367.52","2372.74","2359.59","339378.0","6556191.0","1.86939706E9"
"2022/07/18","2375.25","44.27","1.90","2350.48","2376.50","2344.12","324357.0","7104661.0","1.87310766E9"
"2022/07/15","2330.98","8.66","0.37","2335.12","2337.30","2293.45","319675.0","7383211.0","1.837255296E9"
"2022/07/14","2322.32","-6.29","-0.27","2316.41","2338.29","2307.69","349138.0","6539857.0","1.829593432E9"
"2022/07/13","2328.61","10.85","0.47","2324.45","2341.19","2312.49","308806.0","5998501.0","1.832979142E9"
"2022/07/12","2317.76","-22.51","-0.96","2330.88","2333.02","2303.74","379308.0","6369258.0","1.82499412E9"
"2022/07/11","2340.27","-10.34","-0.44","2357.43","2363.26","2337.82","377108.0","6301234.0","1.843259953E9"
"2022/07/08","2350.61","16.34","0.70","2352.49","2367.84","2348.74","411425.0","7008118.0","1.850893574E9"
"2022/07/07","2334.27","42.26","1.84","2308.97","2344.14","2307.90","340173.0","7652636.0","1.837885178E9"
"2022/07/06","2292.01","-49.77","-2.13","2330.11","2332.14","2290.33","410732.0","8919472.0","1.804225454E9"
"2022/07/05","2341.78","41.44","1.80","2322.11","2344.08","2309.62","323905.0","6890579.0","1.842519185E9"
"2022/07/04","2300.34","-5.08","-0.22","2310.73","2318.31","2276.63","467960.0","7339365.0","1.810669975E9"
"2022/07/01","2305.42","-27.22","-1.17","2342.92","2354.97","2291.49","530346.0","8687669.0","1.814290028E9"
"2022/06/30","2332.64","-45.35","-1.91","2368.57","2368.57","2332.59","515396.0","8923481.0","1.835493487E9"
"2022/06/29","2377.99","-44.10","-1.82","2387.10","2393.25","2375.45","422127.0","7965810.0","1.871275786E9"
"2022/06/28","2422.09","20.17","0.84","2405.20","2422.10","2393.96","564986.0","7193434.0","1.906214561E9"
"2022/06/27","2401.92","35.32","1.49","2383.20","2418.94","2365.86","510587.0","7656358.0","1.890525945E9"
"2022/06/24","2366.60","52.28","2.26","2327.11","2373.48","2319.99","654446.0","8469156.0","1.8623208E9"
"2022/06/23","2314.32","-28.49","-1.22","2347.84","2361.23","2306.48","749661.0","1.0212366E7","1.82118382E9"
"2022/06/22","2342.81","-66.12","-2.74","2417.11","2418.05","2342.81","532139.0","8690134.0","1.843888862E9"
"2022/06/21","2408.93","17.90","0.75","2402.99","2423.48","2385.60","479678.0","7440755.0","1.894965517E9"
"2022/06/20","2391.03","-49.90","-2.04","2449.89","2449.89","2372.35","592702.0","9092289.0","1.881482848E9"
"2022/06/17","2440.93","-10.48","-0.43","2409.72","2441.34","2396.47","634897.0","1.1201572E7","1.92114856E9"
"2022/06/16","2451.41","4.03","0.16","2481.66","2500.36","2447.33","584041.0","9588187.0","1.931070978E9"
"2022/06/15","2447.38","-45.59","-1.83","2490.01","2495.54","2436.04","714143.0","9936928.0","1.926857817E9"
"2022/06/14","2492.97","-11.54","-0.46","2472.96","2503.17","2457.39","671757.0","9992820.0","1.962993357E9"
"2022/06/13","2504.51","-91.36","-3.52","2550.21","2550.32","2504.51","660309.0","1.0335874E7","1.972203678E9"
"2022/06/10","2595.87","-29.57","-1.13","2596.37","2602.80","2583.74","724090.0","8285964.0","2.043213222E9"
"2022/06/09","2625.44","-0.71","-0.03","2618.92","2627.88","2606.61","814883.0","1.0857975E7","2.066451297E9"
"2022/06/08","2626.15","-0.19","-0.01","2633.53","2639.52","2621.96","576390.0","7964335.0","2.066742737E9"
"2022/06/07","2626.34","-44.31","-1.66","2659.27","2662.04","2622.78","524710.0","8948924.0","2.067165431E9"
"2022/06/03","2670.65","11.66","0.44","2679.57","2681.51","2663.00","562470.0","7566758.0","2.101703362E9"
"2022/06/02","2658.99","-26.91","-1.00","2670.74","2674.00","2653.59","525259.0","7860485.0","2.092789271E9"
"2022/05/31","2685.90","16.24","0.61","2666.88","2685.90","2654.32","671679.0","1.3970896E7","2.113784329E9"
"2022/05/30","2669.66","31.61","1.20","2662.31","2672.74","2654.18","469798.0","7473952.0","2.101290667E9"
"2022/05/27","2638.05","25.60","0.98","2640.75","2644.71","2631.49","590814.0","8028159.0","2.076115881E9"
"2022/05/26","2612.45","-4.77","-0.18","2616.99","2641.91","2602.01","595849.0","8613524.0","2.056303508E9"
"2022/05/25","2617.22","11.35","0.44","2621.75","2630.17","2602.94","712611.0","8353419.0","2.059889816E9"
"2022/05/24","2605.87","-41.51","-1.57","2638.94","2646.99","2605.87","851236.0","8703526.0","2.050778685E9"
"2022/05/23","2647.38","8.09","0.31","2651.63","2653.87","2634.29","644205.0","7815204.0","2.083210177E9"
"2022/05/20","2639.29","46.95","1.81","2605.78","2641.68","2605.38","755653.0","9634339.0","2.077558136E9"
"2022/05/19","2592.34","-33.64","-1.28","2576.24","2597.79","2568.54","677595.0","9883990.0","2.041376481E9"
"2022/05/18","2625.98","5.54","0.21","2634.75","2644.13","2618.00","870268.0","1.0047168E7","2.067575122E9"
"2022/05/17","2620.44","23.86","0.92","2603.58","2621.84","2603.58","873519.0","9658877.0","2.062679874E9"
"2022/05/16","2596.58","-7.66","-0.29","2624.69","2629.20","2593.61","780199.0","8528537.0","2.043528753E9"
"2022/05/13","2604.24","54.16","2.12","2570.01","2605.84","2565.96","788539.0","1.0342061E7","2.049292684E9"
"2022/05/12","2550.08","-42.19","-1.63","2569.50","2591.57","2546.80","900331.0","1.2167915E7","2.007195727E9"
"2022/05/11","2592.27","-4.29","-0.17","2586.52","2599.11","2579.09","679510.0","8608259.0","2.040258394E9"
"2022/05/10","2596.56","-14.25","-0.55","2590.13","2602.75","2553.01","841463.0","1.0842463E7","2.043673173E9"
"2022/05/09","2610.81","-33.70","-1.27","2634.32","2642.75","2606.08","892653.0","9289661.0","2.055162929E9"
"2022/05/06","2644.51","-33.06","-1.23","2650.89","2652.51","2635.97","1333936.0","1.0595418E7","2.081320428E9"
"2022/05/04","2677.57","-2.89","-0.11","2690.45","2696.03","2667.23","1181020.0","9903934.0","2.107550083E9"
"2022/05/03","2680.46","-6.99","-0.26","2690.16","2702.10","2680.46","883403.0","9199338.0","2.109346131E9"
"2022/05/02","2687.45","-7.60","-0.28","2669.21","2689.91","2667.85","873723.0","9075649.0","2.11444174E9"
"2022/04/29","2695.05","27.56","1.03","2669.18","2696.10","2664.06","975253.0","1.2664752E7","2.119864985E9"
"2022/04/28","2667.49","28.43","1.08","2656.54","2667.49","2638.37","899169.0","1.2463396E7","2.09778208E9"
"2022/04/27","2639.06","-29.25","-1.10","2630.58","2641.82","2615.50","1072367.0","1.2558711E7","2.070445708E9"
"2022/04/26","2668.31","11.18","0.42","2674.00","2678.05","2663.83","889942.0","1.0807853E7","2.093885341E9"
"2022/04/25","2657.13","-47.58","-1.76","2676.67","2680.35","2657.04","1018005.0","1.1698116E7","2.085607419E9"
"2022/04/22","2704.71","-23.50","-0.86","2704.72","2708.58","2690.48","1239910.0","1.2120588E7","2.122781766E9"
"2022/04/21","2728.21","9.52","0.35","2725.71","2737.54","2725.04","1002973.0","1.1482591E7","2.140416801E9"
"2022/04/20","2718.69","-0.20","-0.01","2718.49","2724.46","2702.84","1736283.0","1.2283913E7","2.132905875E9"
"2022/04/19","2718.89","25.68","0.95","2707.76","2723.98","2705.32","1257385.0","9779975.0","2.133070296E9"
"2022/04/18","2693.21","-2.85","-0.11","2685.04","2701.11","2681.37","1024915.0","9050332.0","2.112795552E9"
"2022/04/15","2696.06","-20.65","-0.76","2695.52","2705.41","2685.01","693718.0","9570268.0","2.114429291E9"
"2022/04/14","2716.71","0.22","0.01","2719.34","2720.30","2702.61","665351.0","1.1419812E7","2.130735885E9"
"2022/04/13","2716.49","49.73","1.86","2677.53","2717.63","2672.60","733241.0","9645446.0","2.131314721E9"
"2022/04/12","2666.76","-26.34","-0.98","2674.17","2685.08","2658.40","870970.0","9853720.0","2.092582277E9"
"2022/04/11","2693.10","-7.29","-0.27","2687.54","2711.02","2683.96","742602.0","8831630.0","2.113756558E9"
"2022/04/08","2700.39","4.53","0.17","2706.64","2712.00","2685.52","948355.0","1.0296234E7","2.119201356E9"
"2022/04/07","2695.86","-39.17","-1.43","2714.70","2718.50","2693.36","999276.0","1.2291043E7","2.116922779E9"
"2022/04/06","2735.03","-24.17","-0.88","2739.07","2747.85","2730.66","1321645.0","1.1014545E7","2.147029119E9"
"2022/04/05","2759.20","1.30","0.05","2765.50","2769.18","2750.50","1605994.0","9933181.0","2.165864596E9"
"2022/04/04","2757.90","18.05","0.66","2729.86","2758.38","2722.45","1022971.0","9744918.0","2.164964282E9"
"2022/04/01","2739.85","-17.80","-0.65","2745.85","2745.85","2729.68","1305564.0","1.0689584E7","2.151279538E9"
"2022/03/31","2757.65","10.91","0.40","2743.24","2765.20","2743.20","1030289.0","9729367.0","2.164962824E9"
"2022/03/30","2746.74","5.67","0.21","2758.31","2760.60","2740.02","840134.0","1.1099514E7","2.156901356E9"
"2022/03/29","2741.07","11.51","0.42","2745.62","2754.18","2733.22","732159.0","1.00203E7","2.152615774E9"
"2022/03/28","2729.56","-0.42","-0.02","2721.22","2737.46","2707.74","768043.0","9801744.0","2.143333164E9"
"2022/03/25","2729.98","0.32","0.01","2740.83","2740.95","2722.36","602771.0","1.0824995E7","2.143377809E9"
"2022/03/24","2729.66","-5.39","-0.20","2716.25","2729.66","2705.14","960898.0","1.3177859E7","2.142618011E9"
"2022/03/23","2735.05","25.05","0.92","2727.12","2742.27","2720.83","883376.0","1.1838672E7","2.146408436E9"
"2022/03/22","2710.00","23.95","0.89","2686.68","2712.14","2686.58","489442.0","9367506.0","2.12700289E9"
"2022/03/21","2686.05","-20.97","-0.77","2717.81","2717.81","2683.69","502402.0","8693850.0","2.109394247E9"
"2022/03/18","2707.02","12.51","0.46","2695.64","2708.16","2688.71","644017.0","1.1442604E7","2.125657537E9"
"2022/03/17","2694.51","35.28","1.33","2703.27","2714.00","2694.51","546079.0","1.1900905E7","2.116541927E9"
"2022/03/16","2659.23","37.70","1.44","2649.85","2659.90","2630.03","736354.0","9310851.0","2.088519368E9"
"2022/03/15","2621.53","-24.12","-0.91","2630.31","2641.97","2615.08","604182.0","9583002.0","2.05938999E9"
"2022/03/14","2645.65","-15.63","-0.59","2654.93","2661.76","2633.31","636324.0","1.2037827E7","2.078071441E9"
"2022/03/11","2661.28","-19.04","-0.71","2665.95","2672.62","2647.28","797034.0","1.2363206E7","2.090547969E9"
"2022/03/10","2680.32","57.92","2.21","2660.86","2682.79","2660.86","613810.0","1.3694703E7","2.105097714E9"
"2022/03/08","2622.40","-28.91","-1.09","2617.33","2647.18","2605.81","540370.0","1.1679452E7","2.06069594E9"
"2022/03/07","2651.31","-62.12","-2.29","2680.17","2680.17","2644.10","571562.0","1.20893E7","2.083197353E9"
"2022/03/04","2713.43","-33.65","-1.22","2736.58","2736.58","2702.34","765676.0","1.2427424E7","2.132467179E9"
"2022/03/03","2747.08","43.56","1.61","2729.86","2748.21","2726.35","614515.0","1.0592862E7","2.156827002E9"
"2022/03/02","2703.52","4.34","0.16","2698.31","2716.46","2692.24","527950.0","1.0996673E7","2.12303252E9"
"2022/02/28","2699.18","22.42","0.84","2663.00","2699.18","2658.25","613470.0","1.2894248E7","2.120187754E9"
"2022/02/25","2676.76","27.96","1.06","2678.47","2694.81","2665.96","664347.0","1.2221012E7","2.103963329E9"
"2022/02/24","2648.80","-70.73","-2.60","2689.28","2694.55","2642.63","926400.0","1.3586138E7","2.082126695E9"
"2022/02/23","2719.53","12.74","0.47","2727.43","2729.56","2705.31","537841.0","9138534.0","2.13736731E9"
"2022/02/22","2706.79","-37.01","-1.35","2705.08","2721.84","2690.09","648401.0","1.059049E7","2.127945076E9"
"2022/02/21","2743.80","-0.72","-0.03","2706.65","2746.62","2694.90","495301.0","7896734.0","2.156626849E9"
"2022/02/18","2744.52","0.43","0.02","2714.52","2747.08","2711.88","513521.0","8508342.0","2.157425759E9"
"2022/02/17","2744.09","14.41","0.53","2735.11","2770.66","2711.99","611422.0","1.1812905E7","2.157575548E9"
"2022/02/16","2729.68","53.14","1.99","2719.61","2730.43","2711.34","422366.0","8389883.0","2.146197286E9"
"2022/02/15","2676.54","-27.94","-1.03","2712.45","2716.45","2665.47","589039.0","9435834.0","2.104887624E9"
"2022/02/14","2704.48","-43.23","-1.57","2715.10","2724.72","2688.24","616343.0","1.1579387E7","2.12685315E9"
"2022/02/11","2747.71","-24.22","-0.87","2739.14","2766.70","2735.08","480520.0","1.0992603E7","2.161381267E9"
"2022/02/10","2771.93","3.08","0.11","2787.44","2788.27","2761.76","509611.0","1.2776154E7","2.179937247E9"
"2022/02/09","2768.85","22.38","0.81","2772.63","2773.38","2753.51","539124.0","1.0337571E7","2.176095838E9"
"2022/02/08","2746.47","1.41","0.05","2767.76","2779.85","2726.72","560534.0","1.1785877E7","2.158494534E9"
"2022/02/07","2745.06","-5.20","-0.19","2750.70","2750.70","2718.94","417838.0","1.1291948E7","2.157575112E9"
"2022/02/04","2750.26","42.44","1.57","2714.83","2751.80","2712.87","536149.0","1.1393256E7","2.162189762E9"
"2022/02/03","2707.82","44.48","1.67","2706.34","2735.34","2702.78","435710.0","1.2472536E7","2.129673299E9"
"2022/01/28","2663.34","48.85","1.87","2617.87","2668.59","2591.53","434187.0","1.3753057E7","2.094859102E9"
"2022/01/27","2614.49","-94.75","-3.50","2709.24","2722.86","2614.49","487727.0","2.0548835E7","2.056788549E9"
"2022/01/26","2709.24","-11.15","-0.41","2729.75","2744.14","2708.10","472651.0","8978727.0","2.007683222E9"
"2022/01/25","2720.39","-71.61","-2.56","2786.41","2789.62","2703.99","639959.0","1.1700945E7","2.016270364E9"
"2022/01/24","2792.00","-42.29","-1.49","2823.76","2828.11","2780.68","473993.0","9304491.0","2.068283398E9"
"2022/01/21","2834.29","-28.39","-0.99","2837.49","2847.95","2817.11","532753.0","1.0718108E7","2.098926813E9"
"2022/01/20","2862.68","20.40","0.72","2842.28","2862.70","2830.97","395669.0","8872018.0","2.119405878E9"
"2022/01/19","2842.28","-21.96","-0.77","2840.34","2871.79","2832.18","463829.0","9649067.0","2.10522365E9"
"2022/01/18","2864.24","-25.86","-0.89","2898.98","2902.79","2857.26","554041.0","1.0040965E7","2.121897006E9"
"2022/01/17","2890.10","-31.82","-1.09","2918.55","2919.67","2875.98","593261.0","1.0396513E7","2.141590251E9"
"2022/01/14","2921.92","-40.17","-1.36","2937.61","2944.97","2914.73","532668.0","1.0799738E7","2.164996763E9"
"2022/01/13","2962.09","-10.39","-0.35","2979.91","2982.14","2958.39","604871.0","1.1458979E7","2.1937996E9"
"2022/01/12","2972.48","45.10","1.54","2950.78","2972.58","2950.31","519501.0","1.0895354E7","2.20096725E9"
"2022/01/11","2927.38","0.66","0.02","2930.93","2943.57","2909.82","566172.0","1.0646542E7","2.168032047E9"
"2022/01/10","2926.72","-28.17","-0.95","2947.37","2951.12","2910.90","477400.0","1.0397828E7","2.166763875E9"
